name,surname
SMITH,STOLL
JOHNSON,RASPANTI
WILLIAMS,FAICON
BROWN,WRIGLEY
JONES,LOVERME
MILLER,THADANI
DAVIS,VILTZ
GARCIA,CHIAZZA
RODRIGUEZ,HOZE
WILSON,SEETON
MARTINEZ,DIELIA
ANDERSON,BUCEK
TAYLOR,BENDLER
THOMAS,BEREITER
HERNANDEZ,GORETSKY
MOORE,SUDNIK
MARTIN,MESEROLE
JACKSON,TYLUS
THOMPSON,HILBERG
WHITE,KORZENIOWSKI
LOPEZ,PERALA
LEE,LOTTI
GONZALEZ,METRAS
HARRIS,BARSS
CLARK,SCHMELLING
LEWIS,MASCHEK
ROBINSON,AZIZ
WALKER,KAVALAUSKAS
PEREZ,ZAVERI
HALL,BONI
YOUNG,BUTTINO
ALLEN,SCHWAGEL
SANCHEZ,TERAI
WRIGHT,BALTZER
KING,BALLAN
SCOTT,BLASINGAME
GREEN,SABELL
BAKER,SHARABY
ADAMS,JANECEK
NELSON,BIRENBAUM
HILL,OLTMANN
RAMIREZ,MERLEY
CAMPBELL,LOVITT
MITCHELL,SICKING
ROBERTS,GULLIKSEN
CARTER,BURGEST
PHILLIPS,WUERZ
EVANS,LYNGAAS
TURNER,CHRISTOPHERSEN
TORRES,TOURIGNY
PARKER,PENEDA
COLLINS,BURRUANO
EDWARDS,KAMPA
STEWART,MOYNIHAN
FLORES,HARLACKER
MORRIS,ADEYEYE
NGUYEN,SALIMAN
MURPHY,ZYGADLO
RIVERA,PANDA
COOK,BOURGOIS
ROGERS,TAGHAVI
MORGAN,TAVAGLIONE
PETERSON,SERVER
COOPER,HOUF
REED,COFFELL
BAILEY,STPIERRE
BELL,MAHNS
GOMEZ,CERCY
KELLY,VANORMAN
HOWARD,EMERICH
WARD,EDGING
COX,SHEARD
DIAZ,TRUELL
RICHARDSON,MIXON
WOOD,BABADZHANOV
WATSON,TUBB
BROOKS,BLASEY
BENNETT,BARNHARD
GRAY,RADEMAKER
JAMES,ROWLEY
REYES,PASANEN
CRUZ,FIGNAR
HUGHES,BRACE
PRICE,BRYE
MYERS,PONDILLO
LONG,IBRAGIMOV
FOSTER,BOXLEY
SANDERS,PALISIN
ROSS,DANA
MORALES,SPRAGLIN
POWELL,ROUSHAR
SULLIVAN,CHARRIS
RUSSELL,LETSOS
ORTIZ,TETON
JENKINS,CZERNIK
GUTIERREZ,SABANDO
PERRY,SCHLIEMAN
